,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
1309,"GSL Defense Training, LLC is a very strong supporter of Guns Save Life and its mission.",05 Engineering and Business: Engineering,Component,Guns Save Life,,supporter,Guns Save Life,Gun Rights,supporter,Building,3792218,,
1013,each passing year and suggestions to make schools untouchable islands of peace are not really achievable with our current budget contraints 6- the gun lobby and gun culture have so won the day on this issue that they are beyond challenge politically and nothing will come of these incidents,03 Conflict,Winner,gun lobby,,won,gun lobby,Gun Rights,won,Competition/Game,2889223,,
53,"Sure, some progressive taxation alleviates much human suffering, but it's not the ultimate solution",01 Health and Safety,Protection,taxation,,alleviates,taxation,Taxation,alleviates,Medicine,1971573,,
831,"Environmental activists have challenged the government on hydroelectric and other infrastructure projects, intellectuals have submitted petitions criticizing authoritarian policies, and rural farmers are forming associations to protect their collective interests.",03 Conflict,Side,government,,challenged,government,Government,challenged,Competition,2665393,,
695,"Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.",03 Conflict,Conflict,tariff,,wars,tariff,Taxes,wars,War,32557,,
487,"Politico's Ben Smith has looked over the mountain of the 2012 election to see what's down the path, and he sees same sex marriage as a potentially huge issue in the race for the Democratic nomination.",02 Journey,Barrier,election,,mountain,election,Elections,mountain,Hazardous Geographic Feature,761946,,
484,"The president said the target has been set to ensure that the issues of poverty alleviation, food security, diversification of the economy, job creation, amongst others are dealt with while government would also strive to double economic growth after every seven years.",02 Journey,Barrier,poverty,,alleviation,poverty,Poverty,alleviation,Disease/Physical Burden,55331,,
798,5 Reasons why gun control failed,03 Conflict,Loser,gun control,,failed,gun control,Control of Guns,failed,Competition,2521852,,
209,"They have obstructed, gerrymandered and legislated to deny voter rights, imposed dangerous gun rights, deny abortion and equal marriage rights and on...........!",01 Health and Safety,Threat,gun rights,,dangerous,gun rights,Gun Rights,dangerous,Physical Harm,2378660,,
1375,"Poverty will increase and health will suffer unless there is clear policy to address decreasing water affordability, a leading public health organisation has said.",05 Engineering and Business: Resource,Resource,poverty,,increase,Poverty,Poverty,increase,Upward Movement,2674659,,
1363,"He commented further, ""When basic needs are provided by the government, democracy evaporates.""",05 Engineering and Business: Resource,Resource,democracy,,evaporates,democracy,Democracy,evaporates,Body of Water,760921,,
851,for the first question yes why would my country do anything against me? like even the arabs both muslim and christians(not the palestinians in the west bank and gaza) never protested to own guns or said they dont feel safe here.. and also i read here that people hold guns to go against the country in time of need now you think that a bunch of 30-40 years old men with 1920's-2000's guns can win a tank or an air plane? or an air craft carier?,03 Conflict,Side,guns,,win,guns,Guns,win,Competition/Game/War,2668570,,
166,"You will say no, but any law that bans all guns would mean that all gun owners in your view were evil.",01 Health and Safety,Threat,gun owners,,evil,gun owners,Guns,evil,Monster,3678835,,
1454,"In truth, gun control steals our freedom, our safety, and our capacity for self-defense.",06 Morality and Justice,Criminal,gun control,,steals,gun control,Control of Guns,steals,Theft,2378719,,
747,Has the NRA organised and helped members gain strength in opposing gun control?,03 Conflict,Enemy,gun control,,opposing,gun control,Control of Guns,opposing,Struggle,2118138,,
1413,Taxation steals wealth from productive citizens in order to benefit the preferred programs and constituencies of the governing class.,06 Morality and Justice,Crime,Taxation,,steals,Taxation,Taxation,steals,Theft,2378530,,
1624,"Among the more startling facts presented in the report: while median income for America’s middle class fell five percent from $72,956 to $69,487 in the years 2000-2011, median wealth plummeted by 28 percent, ""erasing two decades of gains.""",12 High and Low,Agent,median wealth,[agent] plummeted,plummeted,wealth,Wealth,plummeted,Downward Movement,158696,,
368,"In firearm owners case it is because they have exchanged their rights for firearm ownership and now protect their guns, not their rights.",01 Health and Safety,Threatened,guns,,protect,guns,Guns,protect,Protection,2672799,,
1762,"Just this morning I discovered that PayPal had shut off my PayPal account, frozen my money in the account and has flagged my account for review.",14 Embodied Experience: Temperature,Agent,PayPal,,frozen,money,Wealth,frozen,Temperature,136841,,
1022,"Now it seems even attempts to turn the hands back a decade to something like the ""assault weapon"" status quo of ten years ago--not exactly an amazing victory of gun control--are likely to fizzle.",03 Conflict,Winner,gun control,,victory,gun control,Control of Guns,victory,Competition/War,3123573,,
80,"While it is true that wealth is a blessing from God, poverty should not be seen conversely as God's disfavor because, in a sense, poverty relieves the individual from tremendous responsibility.",01 Health and Safety,Protection,poverty,,relieves,poverty,Poverty,relieves,Physical Burden,1973425,,
287,"Heinous allegations of abuse were charged against some tasked with caring for the most helpless, education proponents couldn't agree on the best way to teach local students, and the death of a bureaucracy left City officials scrambling to preserve their ability to spruce up the downtown.",01 Health and Safety,Threatened,bureaucracy,,death,bureaucracy,Bureaucracy,death,Life Stage,3119749,,
1280,"In a system of taxation based on justice and equity it is fundamental that the burdens be proportioned to the capacity of the people contributing (Mater et Magistra, 132).",05 Engineering and Business: Engineering,Built,taxation,,system,taxation,Taxation,system,Machine,2666449,,
1529,"This is yet another reason why ""stupid people don't get to vote"" is a pointless idea; it robs democracy of its legitimacy.",06 Morality and Justice,Victim,democracy,,robs,democracy,Democracy,robs,Theft,761691,,
610,Only time will be able to tell as the election races to an end.,03 Conflict,Conflict,election,,races,election,Elections,races,Competition,3124283,,
1233,"This reclaiming of their lands reinforces their right to them, and their possession remains unbroken thereafter.",05 Engineering and Business: Engineering,Built,right,,reinforces,right,Democracy,reinforces,Building/Strength,513614,,
838,Throughout NYC our gun control team works diligently to stop the rise of violence; but realizes that this is a Public Health Crisis that must be addressed like any other disease that impacts our country.,03 Conflict,Side,gun control,[side] team,team,gun control,Control of Guns,team,Competition,2377497,,
1509,And I support licenses that would divide people who want to abuse 2A gun rights and kill innocents from those who want to use 2A gun rights for defense.,06 Morality and Justice,Victim,gun rights,,abuse,gun rights,Gun Rights,abuse,Crime/Physical Harm,2883770,,
1287,"answered 1 year ago The ""sporting use"" argument came about during gun manufacturer's efforts to shape gun control while passing the 1968 legislation--hunting has nothing to do with the second amendment, it was just a way to outlaw cheap imports at the time.",05 Engineering and Business: Engineering,Built,gun control,,shape,gun control,Control of Guns,shape,Shape,3123565,,
235,"There were five votes in the JCS, and a single vote could kill a project.",01 Health and Safety,Threat,vote,,kill,vote,Elections,kill,Physical Harm,2859071,,
1410,"They just think that they have a sound bite that makes it look like these nasty, poor, and predominately black folks are trying to steal the election from the good white Christian folks who would do no wrong.",06 Morality and Justice,Crime,election,,steal,election,Elections,steal,Theft,550694,,
39,"In the Middle East, the president's motto is: Democracy cures all ills.",01 Health and Safety,Protection,Democracy,,cures,Democracy,Democracy,cures,Disease/Medicine,2007193,,
410,World Development Report 2000/2001: Attacking Poverty.,01 Health and Safety,Threatened,poverty,,attacking,Poverty,Poverty,Attacking,Struggle/War,2088824,,
1089,"Yet, adopting the Official History and hagiography of our constructivist, utopian Founders, they worship the Constitution anyway, even though it was a coup d'etat, even though slavery was permitted, even though it was an illegal, unnecessary, centralizing power play by politicians (see Rockwell on Hoppe on the Constitution as Expansion of Government Power), even though it arguably led to the Civil War, WWI, the collapse of western monarchies and the regressive replacement of traditionalist limited monarchy with socialized democracy, WWII, Naziism, Communism, the Holocaust, Nagasaki, Hiroshima, and the Cold War (see my When Did the Trouble Start?)",04 Power and Control: God,God,Constitution,,worship,Constitution,Government,worship,A God,1973223,,
